INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING				
504	5	自己收益奖励	0	0	500	250	250	250	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
505	5	自己收益奖励	0	0	600	300	300	300	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
506	5	自己收益奖励	0	0	700	350	350	350	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
507	5	自己收益奖励	0	0	800	400	400	400	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
508	5	自己收益奖励	0	0	900	450	450	450	319|320|321|322|323|324|325|326|327|	1|1|1|1|1|1|1|1|1|	10|10|10|10|10|10|10|10|10|				
601	6	好友拜访奖励0-9	0	2	0	0	0	0	6|319|320|321|	1|1|1|1|	100|10|10|10|				
602	6	好友拜访奖励0-9	0	2	0	0	0	0	6|319|320|321|	1|1|1|1|	100|10|10|10|				
603	6	好友拜访奖励0-9	0	2	0	0	0	0	6|319|320|321|	1|1|1|1|	100|10|10|10|				
604	6	好友拜访奖励0-9	0	2	0	0	0	0	6|319|320|321|	1|1|1|1|	100|10|10|10|				
605	6	好友拜访奖励0-9	0	2	0	0	0	0	6|319|320|321|	1|1|1|1|	100|10|10|10|				
606	6	好友拜访奖励10-19	0	4	0	0	0	0	6|319|320|321|	2|1|1|1|	100|10|10|10|				
607	6	好友拜访奖励10-19	0	4	0	0	0	0	6|319|320|321|	2|1|1|1|	100|10|10|10|				
608	6	好友拜访奖励10-19	0	4	0	0	0	0	6|319|320|321|	2|1|1|1|	100|10|10|10|				
609	6	好友拜访奖励10-19	0	4	0	0	0	0	6|319|320|321|	2|1|1|1|	100|10|10|10|				
610	6	好友拜访奖励10-19	0	4	0	0	0	0	6|319|320|321|	2|1|1|1|	100|10|10|10|				
611	6	好友拜访奖励20-29	0	6	0	0	0	0	6|319|320|321|	3|1|1|1|	100|10|10|10|				
612	6	好友拜访奖励20-29	0	6	0	0	0	0	6|319|320|321|	3|1|1|1|	100|10|10|10|				
613	6	好友拜访奖励20-29	0	6	0	0	0	0	6|319|320|321|	3|1|1|1|	100|10|10|10|				
614	6	好友拜访奖励20-29	0	6	0	0	0	0	6|319|320|321|	3|1|1|1|	100|10|10|10|				
615	6	好友拜访奖励20-29	0	6	0	0	0	0	6|319|320|321|	3|1|1|1|	100|10|10|10|				
616	6	好友拜访奖励30-39	0	8	0	0	0	0	6|319|320|321|	4|1|1|1|	100|10|10|10|				
617	6	好友拜访奖励30-39	0	8	0	0	0	0	6|319|320|321|	4|1|1|1|	100|10|10|10|				
618	6	好友拜访奖励30-39	0	8	0	0	0	0	6|319|320|321|	4|1|1|1|	100|10|10|10|				
619	6	好友拜访奖励30-39	0	8	0	0	0	0	6|319|320|321|	4|1|1|1|	100|10|10|10|				
620	6	好友拜访奖励30-39	0	8	0	0	0	0	6|319|320|321|	4|1|1|1|	100|10|10|10|				
621	6	好友拜访奖励40-49	0	10	0	0	0	0	6|319|320|321|	5|1|1|1|	100|10|10|10|				
622	6	好友拜访奖励40-49	0	10	0	0	0	0	6|319|320|321|	5|1|1|1|	100|10|10|10|				
623	6	好友拜访奖励40-49	0	10	0	0	0	0	6|319|320|321|	5|1|1|1|	100|10|10|10|				
624	6	好友拜访奖励40-49	0	10	0	0	0	0	6|319|320|321|	5|1|1|1|	100|10|10|10|				
625	6	好友拜访奖励40-49	0	10	0	0	0	0	6|319|320|321|	5|1|1|1|	100|10|10|10|				
626	6	好友拜访奖励50-59	0	12	0	0	0	0	6|319|320|321|	6|1|1|1|	100|10|10|10|				
627	6	好友拜访奖励50-59	0	12	0	0	0	0	6|319|320|321|	6|1|1|1|	100|10|10|10|				
628	6	好友拜访奖励50-59	0	12	0	0	0	0	6|319|320|321|	6|1|1|1|	100|10|10|10|				
629	6	好友拜访奖励50-59	0	12	0	0	0	0	6|319|320|321|	6|1|1|1|	100|10|10|10|				
630	6	好友拜访奖励50-59	0	12	0	0	0	0	6|319|320|321|	6|1|1|1|	100|10|10|10|				
701	7	好友帮助奖励浇水0-9	0	1	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
702	7	好友帮助奖励除虫0-9	0	1	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
703	7	好友帮助奖励清理0-9	0	1	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
704	7	好友帮助奖励修缮0-9	0	1	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
705	7	好友帮助奖励浇水10-19	0	2	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
706	7	好友帮助奖励除虫10-19	0	2	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
707	7	好友帮助奖励清理10-19	0	2	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
708	7	好友帮助奖励修缮10-19	0	2	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
709	7	好友帮助奖励浇水20-29	0	3	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
710	7	好友帮助奖励除虫20-29	0	3	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
711	7	好友帮助奖励清理20-29	0	3	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
712	7	好友帮助奖励修缮20-29	0	3	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
713	7	好友帮助奖励浇水30-39	0	4	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
714	7	好友帮助奖励除虫30-39	0	4	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
715	7	好友帮助奖励清理30-39	0	4	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
716	7	好友帮助奖励修缮30-39	0	4	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
717	7	好友帮助奖励浇水40-49	0	5	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
718	7	好友帮助奖励除虫40-49	0	5	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
719	7	好友帮助奖励清理40-49	0	5	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
720	7	好友帮助奖励修缮40-49	0	5	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
721	7	好友帮助奖励浇水50-59	0	6	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
722	7	好友帮助奖励除虫50-59	0	6	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
723	7	好友帮助奖励清理50-59	0	6	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
724	7	好友帮助奖励修缮50-59	0	6	0	0	0	0	322|323|324|	1|1|1|	10|10|10|				
801	8	好友送礼（钱）0-9	0	1	0	100	100	0	325|326|327|	1|1|1|	10|10|10|				
802	8	好友送礼（灯笼）0-9	0	1	20	100	100	0	325|326|327|	1|1|1|	10|10|10|				
803	8	好友送礼（木材）0-9	0	1	30	100	100	0	325|326|327|	1|1|1|	10|10|10|				
804	8	好友送礼（石材）0-9	0	1	40	100	100	0	325|326|327|	1|1|1|	10|10|10|				
805	8	好友送礼（粮食）0-9	0	1	50	100	100	0	325|326|327|	1|1|1|	10|10|10|				
806	8	好友送礼（人口）0-9	0	1	60	100	100	0	325|326|327|	1|1|1|	10|10|10|				
807	8	好友送礼（规模上限）0-9	0	1	70	100	100	0	325|326|327|	1|1|1|	10|10|10|				
808	8	好友送礼（钱）10-19	0	2	0	100	100	0	325|326|327|	1|1|1|	10|10|10|				
809	8	好友送礼（灯笼）10-19	0	2	20	100	100	0	325|326|327|	1|1|1|	10|10|10|				
810	8	好友送礼（木材）10-19	0	2	30	100	100	0	325|326|327|	1|1|1|	10|10|10|				
811	8	好友送礼（石材）10-19	0	2	40	100	100	0	325|326|327|	1|1|1|	10|10|10|				
812	8	好友送礼（粮食）10-19	0	2	50	100	100	0	325|326|327|	1|1|1|	10|10|10|				
813	8	好友送礼（人口）10-19	0	2	60	100	100	0	325|326|327|	1|1|1|	10|10|10|				
814	8	好友送礼（规模上限）10-19	0	2	70	100	100	0	325|326|327|	1|1|1|	10|10|10|				
815	8	好友送礼（钱）20-29	0	3	0	100	100	0	325|326|327|	1|1|1|	10|10|10|				
816	8	好友送礼（灯笼）20-29	0	3	20	100	100	0	325|326|327|	1|1|1|	10|10|10|				
817	8	好友送礼（木材）20-29	0	3	30	100	100	0	325|326|327|	1|1|1|	10|10|10|				
818	8	好友送礼（石材）20-29	0	3	40	100	100	0	325|326|327|	1|1|1|	10|10|10|				
819	8	好友送礼（粮食）20-29	0	3	50	100	100	0	325|326|327|	1|1|1|	10|10|10|				
820	8	好友送礼（人口）20-29	0	3	60	100	100	0	325|326|327|	1|1|1|	10|10|10|				
821	8	好友送礼（规模上限）20-29	0	3	70	100	100	0	325|326|327|	1|1|1|	10|10|10|				
822	8	好友送礼（钱）30-39	0	4	0	100	100	0	325|326|327|	1|1|1|	10|10|10|				
823	8	好友送礼（灯笼）30-39	0	4	20	100	100	0	325|326|327|	1|1|1|	10|10|10|				
824	8	好友送礼（木材）30-39	0	4	30	100	100	0	325|326|327|	1|1|1|	10|10|10|				
825	8	好友送礼（石材）30-39	0	4	40	100	100	0	325|326|327|	1|1|1|	10|10|10|				
826	8	好友送礼（粮食）30-39	0	4	50	100	100	0	325|326|327|	1|1|1|	10|10|10|				
827	8	好友送礼（人口）30-39	0	4	60	100	100	0	325|326|327|	1|1|1|	10|10|10|				
828	8	好友送礼（规模上限）30-39	0	4	70	100	100	0	325|326|327|	1|1|1|	10|10|10|				
829	8	好友送礼（钱）40-49	0	5	0	100	100	0	325|326|327|	1|1|1|	10|10|10|				
830	8	好友送礼（灯笼）40-49	0	5	20	100	100	0	325|326|327|	1|1|1|	10|10|10|				
831	8	好友送礼（木材）40-49	0	5	30	100	100	0	325|326|327|	1|1|1|	10|10|10|				
832	8	好友送礼（石材）40-49	0	5	40	100	100	0	325|326|327|	1|1|1|	10|10|10|				
833	8	好友送礼（粮食）40-49	0	5	50	100	100	0	325|326|327|	1|1|1|	10|10|10|				
834	8	好友送礼（人口）40-49	0	5	60	100	100	0	325|326|327|	1|1|1|	10|10|10|				
835	8	好友送礼（规模上限）40-49	0	5	70	100	100	0	325|326|327|	1|1|1|	10|10|10|				
836	8	好友送礼（钱）50-59	0	6	0	100	100	0	325|326|327|	1|1|1|	10|10|10|				
837	8	好友送礼（灯笼）50-59	0	6	20	100	100	0	325|326|327|	1|1|1|	10|10|10|				
838	8	好友送礼（木材）50-59	0	6	30	100	100	0	325|326|327|	1|1|1|	10|10|10|				
839	8	好友送礼（石材）50-59	0	6	40	100	100	0	325|326|327|	1|1|1|	10|10|10|				
840	8	好友送礼（粮食）50-59	0	6	50	100	100	0	325|326|327|	1|1|1|	10|10|10|				
841	8	好友送礼（人口）50-59	0	6	60	100	100	0	325|326|327|	1|1|1|	10|10|10|				
842	8	好友送礼（规模上限）50-59	0	6	70	100	100	0	325|326|327|	1|1|1|	10|10|10|				
