INT	STRING	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	STRING	STRING	STRING
10	箭靶@:46	8	3	.//building//jianba001.actor	1	.//building//cj_jianba001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1.3	0	0	0	0	0	0	0	1	0	10	1	1
11	皇榜@:47	1	1	.//building//huangbang001.actor	1	.//building//cj_huangbang001.png	3	3	0	300	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0.75	0	11	1	1
12	乡间水井@:48	1	1	.//building//shuijing001.actor	312	.//building//cj_shuijing001.png	2	2	0	300	1	1	0	0	0	300	0	20	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	68	1	5000
13	石狮子@:49	1	3	.//building//shishizi001.actor	1	.//building//cj_shishizi001.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0	0	0	1	0	13	1	1
14	文房四宝@:59	2	1	.//building//wenfangsibao001.actor	1	.//building//cj_wenfangsibao001.png	3	3	0	600	1	3	0	0	0	600	0	40	0	main_pop.png	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	1	47	1	5000
15	宫廷路灯@:51	2	3	.//building//denglong001.actor	1	.//building//cj_denglong001.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1.01	0	0	0	0	0	0	0	1	0	15	1	1
16	路灯@:52	3	3	.//building//denglong002.actor	1	.//building//cj_ludeng002.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1.03	0	0	0	0	0	0	0	1	0	16	1	1
17	灯@:53	4	3	.//building//deng001.actor	1	.//building//cj_deng001.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1.06	0	0	0	0	0	0	0	1	0	17	1	1
18	萝卜@:54	1	5	.//building//zhongzhi_luobo.actor	1	.//building//cj_luobo002.png	2	2	0	0	1	1	0	0	0	300	0	36	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	4	5	0	1	0	18	1	1
19	黄瓜@:55	1	5	.//building//zhongzhi_huanggua.actor	1	.//building//cj_huanggua002.png	2	2	0	0	1	1	0	0	0	600	0	68	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	300	1	4	5	0	1	0	1	1	1
20	稻子@:56	1	5	.//building//zhongzhi_daozi.actor	1	.//building//cj_daozi002.png	2	2	0	0	1	1	0	0	0	3600	0	173	0	main_pop.png	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1800	1	4	5	0	1	0	2	1	1
21	田地@:57	1	4	.//building//zhongzhi_nongtian.actor	1	.//building//cj_nongtian001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1
22	大松树（废弃）@:58	100	10	.//building//dasongshu001.actor	1	.//building//cj_dasongshu001.png	5	5	0	0	1	1	0	0	0	3	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.6	0	4	1	1
23	菊花丛@:65	9	3	.//building//juhuacong001.actor	314	.//building//cj_juhuacong001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1.4	0	0	0	0	0	0	0	1	0	5	1	1
24	紫色郁金香@:60	10	3	.//building//yujinxiang001.actor	314	.//building//cj_yujinxiang001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1.55	0	0	0	0	0	0	0	1	0	6	1	1
25	蓝色郁金香@:61	11	3	.//building//yujinxiang003.actor	314	.//building//cj_yujinxiang003.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1.75	0	0	0	0	0	0	0	1	0	7	1	1
26	黄色郁金香@:62	12	3	.//building//yujinxiang002.actor	314	.//building//cj_yujinxiang002.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0	8	1	1
27	土地5（不显示）@:63	100	9	.//building//tudi007.actor	314	.//building//cj_tudi007.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	1	1
28	土地6（不显示）@:64	100	9	.//building//tudi007.actor	314	.//building//cj_tudi007.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	1	1
29	土地@:63	2	9	.//building//tudi007.actor	314	.//building//cj_tudi007.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	1	1
30	土地8（不显示）@:66	100	9	.//building//tudi007.actor	314	.//building//cj_tudi007.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	1	1
31	地砖@:67	1	9	.//building//shidi001.actor	314	.//building//cj_dizhuan001.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	1	1
32	琉璃金殿@:68	3	1	.//building//simiao001.actor	313	.//building//cj_simiao001.png	6	6	0	300	1	1	0	0	0	300	0	28	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	1	32	1	5000
33	兵营@:69	4	1	.//building//bingying001.actor	1	.//building//cj_bingying001.png	4	4	0	600	1	3	0	0	0	600	0	54	0	main_pop.png	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	17	1	5000
34	牌楼（废弃）@:70	100	3	.//building//bingying001.actor	1	.//building//cj_bingying001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2.3	0	0	0	0	0	0	0	1	0	16	1	1
35	兔子喷泉@:71	14	3	.//building//tuzipenquan001.actor	1	.//building//cj_tuzipenquan001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2.65	0	0	0	0	0	0	0	1	0	17	1	1
36	饺子馆@:72	5	1	.//building//jiaoziguan001.actor	1	.//building//cj_jiaoziguan001.png	4	4	0	3600	1	15	0	0	0	3600	0	120	0	main_pop.png	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	25	1	5000
37	玉兔佛@:73	15	3	.//building//yudiaofuxiang001.actor	1	.//building//cj_yudiaofuxiang001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	3.05	0	0	0	0	0	0	0	1	0	1	1	1
38	熊猫娃娃@:74	5	3	.//building//xiongmaowawa001.actor	1	.//building//cj_xiongmaowawa001.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1.1	0	0	0	0	0	0	0	1	0	2	1	1
39	飞艇@:75	100	7	.//building//building_feiting002.actor	1	.//building//cj_feiting001.png	3	3	0	1	1	1	0	0	0	54000	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1
40	怡然民舍@:76	4	2	.//building//minju003.actor	311	.//building//cj_minju003.png	3	3	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	1	1
41	杨府别院@:77	2	2	.//building//minju004.actor	311	.//building//cj_minju004.png	3	3	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	1	5	1	1
42	抱竹小筑@:78	4	2	.//building//minju005.actor	311	.//building//cj_minju005.png	3	3	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	1	6	1	1
43	民居2@:79	100	2	.//building//linshi_minju.actor	311	.//building//cj_minju002.png	3	3	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	1	1
44	民居1@:80	100	3	.//building//linshi_tuzi.actor	311	.//building//cj_minju001.png	3	3	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	0	1	1	8	1	1
45	民居2@:81	100	3	.//building//linshi_diji.actor	311	.//building//cj_minju002.png	3	3	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2.65	0	0	0	0	0	0	0	1	1	9	1	1
46	乡土围屋@:82	7	2	.//building//minju006.actor	311	.//building//cj_minju006.png	3	3	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	1	1
47	民居2@:83	100	2	.//building//minju002.actor	311	.//building//cj_minju002.png	3	3	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	1	1
48	巨塔2@:84	6	1	.//building//ta001.actor	1	.//building//cj_ta001.png	5	5	0	14400	1	20	0	0	0	14400	0	200	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	1	32	1	5000
49	地动仪@:85	16	3	.//building//didongyidiaoxiang001.actor	1	.//building//cj_didongyidiaoxiang001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	3.5	0	0	0	0	0	0	0	1	0	13	1	1
50	动力水车@:86	7	1	.//building//shuiche002.actor	1	.//building//shop_shuiche002.png	3	3	0	600	1	3	0	0	0	600	0	68	0	main_pop.png	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	1	40	1	5000
51	小摊@:87	17	3	.//building//youzhisantanwei001.actor	1	.//building//cj_youzhisantanwei001_xt.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	1	0	15	1	1
52	西瓜@:88	1	5	.//building//zhongzhi_xigua.actor	1	.//building//cj_xigua002.png	2	2	0	0	1	1	0	0	0	14400	0	238	0	main_pop.png	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3600	1	16	1	0	1	0	16	1	1
53	南瓜@:89	1	5	.//building//zhongzhi_nangua.actor	1	.//building//cj_nangua002.png	2	2	0	0	1	1	0	0	0	28800	0	314	0	main_pop.png	3	0	0	0	0	0	0	0	0	0	0	0	0	0	710	1	4	5	0	1	0	17	1	1
54	卷心菜@:90	1	5	.//building//zhongzhi_juanxincai.actor	1	.//building//cj_jianxincai002.png	2	2	0	0	1	1	0	0	0	86400	0	535	0	main_pop.png	3	0	0	0	0	0	0	0	0	0	0	0	0	0	18000	1	4	1	0	1	0	18	1	1
55	小木桥@:91	6	3	.//building//xiaomuqiao001.actor	1	.//building//cj_xiaomuqiao001.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1.15	0	0	0	0	0	0	0	1	0	1	1	1
56	简洁栅栏@:92	7	3	.//building//mubanzhalan002.actor	1	.//building//cj_mubanzhalan002.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1.21	0	0	0	0	0	0	0	1	0	2	1	1
57	木板栅栏@:93	8	3	.//building//mubanzhalan001.actor	1	.//building//cj_mubanzhalan001.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1.28	0	0	0	0	0	0	0	1	0	3	1	1
58	高大的牌楼@:94	8	1	.//building//pailou002.actor	1	.//building//cj_pailou002.png	3	3	0	86400	1	20	0	0	0	86400	0	500	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	1	32	1	5000
59	小火盆@:95	9	3	.//building//shizjuhuopen002.actor	1	.//building//cj_shizhuhuopen002.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1.36	0	0	0	0	0	0	0	1	0	5	1	1
60	大火盆@:96	18	3	.//building//shizjuhuopen001.actor	1	.//building//cj_shizhuhuopen001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	4.55	0	0	0	0	0	0	0	1	0	6	1	1
61	舞狮@:97	19	3	.//building//wushi001.actor	1	.//building//shop_wushi001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	5.15	0	0	0	0	0	0	0	1	0	6	1	1
62	水车@:98	9	1	.//building//shuiche001.actor	312	.//building//cj_shuiche001_done.png	2	2	0	300	1	1	0	0	0	300	0	36	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	1	5000
63	古典牌楼@:99	10	1	.//building//pailou001.actor	1	.//building//cj_pailou001.png	3	3	0	28800	1	20	0	0	0	28800	0	270	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	1	32	1	5000
64	奇迹宫殿@:100	11	1	.//building//huanggong.actor	313	.//building//cj_huanggong.png	8	8	0	3600	1	15	0	0	0	3600	0	146.4	0	main_pop.png	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	1	65	1	5000
65	工业码头@:101	100	7	.//building//matou002.actor	1	.//building//cj_matou002.png	5	5	0	1	1	1	0	0	0	0	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	710	1	0	0	0	0.3	0	11	1	1
66	少年冒险工会@:102	100	6	.//building//maoxian03.actor	317	.//building//cj_maoxian03.png	6	6	0	100	1	1	0	0	0	0	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14400	2	0	0	0	0.3	1	12	1	1
67	面人摊@:103	20	3	.//building//mianrentan001.actor	1	.//building//cj_mianrentan001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	5.8	0	0	0	0	0	0	0	1	0	13	1	1
68	小游戏食品@:104	21	3	.//building//shipin001.actor	1	.//building//cj_shipin001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	6.5	0	0	0	0	0	0	0	1	0	14	1	1
69	瓷器窑@:105	22	3	.//building//ciqiyao001.actor	1	.//building//cj_ciqiyao001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	7.25	0	0	0	0	0	0	0	1	0	15	1	1
70	满汉全席@:106	33	3	.//building//manhanquanxi001.actor	1	.//building//cj_manhanquanxi001.png	3	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	3.05	0	0	0	0	0	0	0	1	0	16	1	1
71	占用农作物5@:107	100	5	.//building//zhongzhi_luobo.actor	1	.//building//cj_nongtian005.png	2	2	0	0	1	1	0	0	0	86400	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	86400	1	0	0	0	1	0	17	1	1
72	占用农作物6@:108	100	5	.//building//zhongzhi_luobo.actor	1	.//building//cj_nongtian006.png	2	2	0	0	1	1	0	0	0	21600	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21600	1	0	0	0	1	0	18	1	1
73	占用农作物7@:109	100	5	.//building//zhongzhi_luobo.actor	1	.//building//cj_nongtian007.png	2	2	0	0	1	1	0	0	0	4310	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4310	1	0	0	0	1	0	1	1	1
74	占用农作物8@:110	100	5	.//building//zhongzhi_luobo.actor	1	.//building//cj_nongtian008.png	2	2	0	0	1	1	0	0	0	14400	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14400	1	0	0	0	1	0	2	1	1
75	占用农作物9@:111	100	5	.//building//zhongzhi_luobo.actor	1	.//building//cj_nongtian009.png	2	2	0	0	1	1	0	0	0	2510	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2510	1	0	0	0	1	0	3	1	1
76	柳树（废弃）@:112	100	10	.//building//liushu001.actor	1	.//building//cj_liushu001.png	4	4	0	0	1	1	0	0	0	3	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	4	0.75	0	4	1	1
77	被砍伐的松树@:113	100	10	.//building//dasongshu003.actor	316	.//building//shop_dasongshu003.png	2	2	0	1	1	1	0	0	0	3	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	4	1	0	5	1	1
78	翠绿松（废弃）@:114	100	3	.//building//dasongshu004.actor	1	.//building//cj_dasongshu004.png	5	5	0	0	1	1	0	0	0	3	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	3	10	4	0.5	0	6	1	1
79	歪脖松（废弃）@:115	100	3	.//building//dasongshu005.actor	1	.//building//cj_dasongshu005.png	5	5	0	0	1	1	0	0	0	3	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	3	4.55	0	0	0	0	3	10	4	0.5	0	7	1	1
80	民居门@:116	23	3	.//building//weiqiangmen001.actor	1	.//building//cj_minjumen.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	8.05	0	0	0	0	0	0	0	1	0	8	1	1
81	围墙1（不显示）@:117	100	3	.//building//weiqiang001_R.actor	1	.//building//cj_minjuweiqiang002.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1.45	0	0	0	0	0	0	0	1	0	9	1	1
82	围墙2（不显示）@:118	100	3	.//building//weiqiang001_L.actor	1	.//building//cj_minjuweiqiang001.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1.55	0	0	0	0	0	0	0	1	0	10	1	1
83	围墙@:119	10	11	.//building//weiqiang002.actor	315	.//building//cj_minjuweiqiang003.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	1	1
84	石头1@:11	1	13	.//building//shitou001.actor	1	.//building//cj_shitou001.png	1	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	14	0	0	0	0	83	1	4	1	0	19*59*49*79	1*1*1*1	50*70*900*100
85	石头2（不显示）@:121	100	13	.//building//shitou002.actor	1	.//building//cj_shitou002.png	1	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	83	1	4	1	0	19*59*49*79	1*1*1*1	50*70*900*100
86	石头3（不显示）@:122	100	13	.//building//shitou003.actor	1	.//building//cj_shitou003.png	3	3	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	12	0	0	0	0	83	1	4	1	0	19*59*49*79	1*1*1*1	50*70*900*100
87	花1@:123	1	13	.//building//hua001.actor	1	.//building//cj_hua001.png	1	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	21	1	1	1	0	29*35*52*82	1*1*1*1	70*70*70*50
88	花2（不显示）@:124	100	13	.//building//hua002.actor	1	.//building//cj_hua002.png	1	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	21	1	1	1	0	29*35*52*82	1*1*1*1	70*70*70*50
89	草1@:125	1	13	.//building//cao001.actor	1	.//building//cj_cao001.png	1	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	3	10	1	1	0	17	1	1
90	草2（不显示）@:126	100	13	.//building//cao002.actor	1	.//building//cj_cao002.png	1	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	3	10	1	1	0	18	1	1
91	草3（不显示）@:127	100	13	.//building//cao003.actor	1	.//building//cj_cao003.png	1	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	3	10	1	1	0	1	1	1
92	竹子1@:128	1	13	.//building//zhuzi002.actor	1	.//building//cj_zhuzi002.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0.6	0	2	1	1
93	竹子2（不显示）@:129	100	13	.//building//zhuzi003.actor	1	.//building//cj_zhuzi003.png	4	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	1	0	3	1	1
94	仙人掌1@:130	10	3	.//building//xianrenzhang001.actor	1	.//building//cj_xianrenzhang001.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1.66	0	0	0	0	0	0	0	1	0	4	1	1
95	仙人掌2（不显示）@:131	100	3	.//building//xianrenzhang002.actor	1	.//building//cj_xianrenzhang002.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1.78	0	0	0	0	0	0	0	1	0	5	1	1
96	仙人掌3（不显示）@:132	100	3	.//building//xianrenzhang003.actor	1	.//building//cj_xianrenzhang003.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1.91	0	0	0	0	0	0	0	1	0	6	1	1
97	仙人掌4（不显示）@:133	100	3	.//building//xianrenzhang004.actor	1	.//building//cj_xianrenzhang004.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2.05	0	0	0	0	0	0	0	1	0	7	1	1
98	仙人掌5（不显示）@:134	100	3	.//building//xianrenzhang005.actor	1	.//building//cj_xianrenzhang005.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2.2	0	0	0	0	0	0	0	1	0	8	1	1
99	醉仙楼酒家@:135	12	1	.//building//jiulou002.actor	318	.//building//cj_jiuguan_002.png	4	4	0	3600	1	15	0	0	0	3600	0	172.8	0	main_pop.png	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	50	1	5000
100	帐篷@:136	13	1	.//building//zhangpeng001.actor	1	.//building//cj_zhangpeng001.png	4	4	0	14400	1	20	0	0	0	14400	0	219.2	0	0	20	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0.5	0	10	1	1
101	柳树（废弃）@:137	100	3	.//building//liushu002.actor	1	.//building//cj_liushu002.png	4	4	0	0	1	1	0	0	0	3	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	3	3.5	0	0	0	0	3	10	4	0.5	0	11	1	1
102	迷雾宝箱（不显示）@:138	100	3	.//building//baoxiang001.actor	1	.//building//cj_baoxiang001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	8.9	0	0	0	0	0	0	0	1	0	12	1	1
103	迷雾宝箱（不显示）@:139	100	3	.//building//baoxiang002.actor	1	.//building//cj_baoxiang002.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	9.8	0	0	0	0	0	0	0	1	0	13	1	1
104	散落的钱袋（不显示）@:140	100	3	.//building//baoxiang003.actor	1	.//building//cj_baoxiang003.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	10.75	0	0	0	0	0	0	0	1	0	14	1	1
