INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
54	2	1	168	1	1	240	0	0	0	0	0	0	0	0				
55	2	1	169	1	1	245	0	0	0	0	0	0	0	0				
56	2	1	170	1	1	250	0	0	0	0	0	0	0	0				
57	2	1	176	1	1	255	0	0	0	0	0	0	0	0				
58	2	1	178	1	1	260	0	0	0	0	0	0	0	0				
59	2	1	179	1	1	265	0	0	0	0	0	0	0	0				
60	2	1	188	1	1	270	0	0	0	0	0	0	0	0				
61	2	1	190	1	1	275	0	0	0	0	0	0	0	0				
62	2	1	191	1	1	280	0	0	0	0	0	0	0	0				
63	2	1	192	1	1	285	0	0	0	0	0	0	0	0				
64	2	1	201	1	1	290	0	0	0	0	0	0	0	0				
65	2	1	216	1	1	295	0	0	0	0	0	0	0	0				
66	2	1	217	1	1	300	0	0	0	0	0	0	0	0				
67	2	1	241	1	1	305	0	0	0	0	0	0	0	0				
68	2	1	253	1	1	310	0	0	0	0	0	0	0	0				
69	2	1	11	1	1	315	0	0	0	0	0	0	0	0				
70	2	1	14	1	1	320	0	0	0	0	0	0	0	0				
71	2	1	15	1	1	325	0	0	0	0	0	0	0	0				
72	2	1	22	1	1	330	0	0	0	0	0	0	0	0				
73	2	1	24	1	1	335	0	0	0	0	0	0	0	0				
74	2	1	35	1	1	340	0	0	0	0	0	0	0	0				
75	2	1	36	1	1	345	0	0	0	0	0	0	0	0				
76	2	1	51	1	1	350	0	0	0	0	0	0	0	0				
77	2	1	57	1	1	355	0	0	0	0	0	0	0	0				
78	2	1	60	1	1	360	0	0	0	0	0	0	0	0				
79	2	1	61	1	1	365	0	0	0	0	0	0	0	0				
80	2	1	62	1	1	370	0	0	0	0	0	0	0	0				
81	2	1	63	1	1	375	0	0	0	0	0	0	0	0				
82	2	1	66	1	1	380	0	0	0	0	0	0	0	0				
83	2	1	67	1	1	385	0	0	0	0	0	0	0	0				
84	2	1	69	1	1	390	0	0	0	0	0	0	0	0				
85	2	1	76	1	1	395	0	0	0	0	0	0	0	0				
86	2	1	77	1	1	400	0	0	0	0	0	0	0	0				
87	2	1	80	1	1	405	0	0	0	0	0	0	0	0				
88	2	1	84	1	1	410	0	0	0	0	0	0	0	0				
89	2	1	89	1	1	415	0	0	0	0	0	0	0	0				
90	2	1	99	1	1	420	0	0	0	0	0	0	0	0				
91	2	1	107	1	1	425	0	0	0	0	0	0	0	0				
92	2	1	108	1	1	430	0	0	0	0	0	0	0	0				
93	2	1	113	1	1	435	0	0	0	0	0	0	0	0				
94	2	1	124	1	1	440	0	0	0	0	0	0	0	0				
95	2	1	125	1	1	445	0	0	0	0	0	0	0	0				
96	2	1	126	1	1	450	0	0	0	0	0	0	0	0				
97	2	1	129	1	1	455	0	0	0	0	0	0	0	0				
98	2	1	130	1	1	460	0	0	0	0	0	0	0	0				
99	2	1	131	1	1	465	0	0	0	0	0	0	0	0				
100	2	1	133	1	1	470	0	0	0	0	0	0	0	0				
101	2	1	134	1	1	475	0	0	0	0	0	0	0	0				
102	2	1	136	1	1	480	0	0	0	0	0	0	0	0				
103	2	1	138	1	1	485	0	0	0	0	0	0	0	0				
104	2	1	142	1	1	490	0	0	0	0	0	0	0	0				
105	2	1	143	1	1	495	0	0	0	0	0	0	0	0				
106	2	1	149	1	1	500	0	0	0	0	0	0	0	0				
107	2	1	150	1	1	505	0	0	0	0	0	0	0	0				
108	2	1	154	1	1	510	0	0	0	0	0	0	0	0				
109	2	1	167	1	1	515	0	0	0	0	0	0	0	0				
110	2	1	173	1	1	520	0	0	0	0	0	0	0	0				
111	2	1	175	1	1	525	0	0	0	0	0	0	0	0				
112	2	1	180	1	1	530	0	0	0	0	0	0	0	0				
113	2	1	181	1	1	535	0	0	0	0	0	0	0	0				
114	2	1	183	1	1	540	0	0	0	0	0	0	0	0				
115	2	1	184	1	1	545	0	0	0	0	0	0	0	0				
116	2	1	185	1	1	550	0	0	0	0	0	0	0	0				
117	2	1	186	1	1	555	0	0	0	0	0	0	0	0				
118	2	1	193	1	1	560	0	0	0	0	0	0	0	0				
119	2	1	196	1	1	565	0	0	0	0	0	0	0	0				
120	2	1	197	1	1	570	0	0	0	0	0	0	0	0				
121	2	1	203	1	1	575	0	0	0	0	0	0	0	0				
122	2	1	204	1	1	580	0	0	0	0	0	0	0	0				
123	2	1	215	1	1	585	0	0	0	0	0	0	0	0				
124	2	1	218	1	1	590	0	0	0	0	0	0	0	0				
125	2	1	240	1	1	595	0	0	0	0	0	0	0	0				
126	2	1	242	1	1	600	0	0	0	0	0	0	0	0				
127	2	1	243	1	1	605	0	0	0	0	0	0	0	0				
128	2	1	244	1	1	610	0	0	0	0	0	0	0	0				
129	2	1	254	1	1	615	0	0	0	0	0	0	0	0				
130	2	1	255	1	1	620	0	0	0	0	0	0	0	0				
131	2	1	25	1	1	625	0	0	0	0	0	0	0	0				
132	2	1	26	1	1	630	0	0	0	0	0	0	0	0				
133	2	1	37	1	1	635	0	0	0	0	0	0	0	0				
134	2	1	48	1	1	640	0	0	0	0	0	0	0	0				
135	2	1	49	1	1	645	0	0	0	0	0	0	0	0				
136	2	1	50	1	1	650	0	0	0	0	0	0	0	0				
137	2	1	70	1	1	655	0	0	0	0	0	0	0	0				
138	2	1	109	1	1	670	0	0	0	0	0	0	0	0				
139	2	1	117	1	1	675	0	0	0	0	0	0	0	0				
140	2	1	127	1	1	680	0	0	0	0	0	0	0	0				
141	2	1	128	1	1	685	0	0	0	0	0	0	0	0				
142	2	1	144	1	1	690	0	0	0	0	0	0	0	0				
143	2	1	151	1	1	695	0	0	0	0	0	0	0	0				
144	2	1	152	1	1	700	0	0	0	0	0	0	0	0				
145	2	1	155	1	1	705	0	0	0	0	0	0	0	0				
146	2	1	202	1	1	710	0	0	0	0	0	0	0	0				
147	2	1	225	1	1	715	0	0	0	0	0	0	0	0				
148	2	1	239	1	1	720	0	0	0	0	0	0	0	0				
149	2	1	199	1	1	750	0	0	0	0	0	0	0	0				
150	1	1	15001	1	1	0	0	0	0	0	0	0	0	0				
151	6	2	1	100	2	10	0	0	0	0	0	0	0	0				
152	6	2	1	550	2	50	0	0	0	0	0	0	0	0				
153	6	2	1	6000	2	500	0	0	0	0	0	0	0	0				
154	6	2	3	3000	2	10	0	0	0	0	0	0	0	0				
155	6	2	3	16500	2	50	0	0	0	0	0	0	0	0				
156	6	2	3	180000	2	500	0	0	0	0	0	0	0	0				
157	6	2	4	3000	2	10	0	0	0	0	0	0	0	0				
158	6	2	4	16500	2	50	0	0	0	0	0	0	0	0				
159	6	2	4	180000	2	500	0	0	0	0	0	0	0	0				
160	6	2	196	3000	2	10	0	0	0	0	0	0	0	0				
161	6	2	196	16500	2	50	0	0	0	0	0	0	0	0				
162	6	2	196	180000	2	500	0	0	0	0	0	0	0	0				
163	4	1	219	1	2	100	0	0	0	0	0	0	0	0				
164	4	1	220	1	2	100	0	0	0	0	0	0	0	0				
165	4	1	221	1	2	100	0	0	0	0	0	0	0	0				
166	4	1	222	1	2	100	0	0	0	0	0	0	0	0				
167	3	2	319	1	4	20	0	0	0	0	0	0	0	0				
168	3	2	320	1	4	20	0	0	0	0	0	0	0	0				
169	3	2	321	1	4	20	0	0	0	0	0	0	0	0				
170	3	2	322	1	4	40	0	0	0	0	0	0	0	0				
171	3	2	323	1	4	40	0	0	0	0	0	0	0	0				
172	3	2	324	1	4	40	0	0	0	0	0	0	0	0				
173	3	2	325	1	4	60	0	0	0	0	0	0	0	0				
174	3	2	326	1	4	60	0	0	0	0	0	0	0	0				
175	3	2	327	1	4	60	0	0	0	0	0	0	0	0				
